Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Goals),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Team Id,Team Name,Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Hilos de conversacion (respuestas),IN-142,10186,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Mensajeria y Portal Familiar,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000vz:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Envio de mensajes con asunto y contenido,IN-141,10185,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Mensajeria y Portal Familiar,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000vr:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Bandeja de entrada de mensajes,IN-140,10184,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Mensajeria y Portal Familiar,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000vj:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Exportacion de reporte a PDF,IN-139,10183,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Motor Adaptativo (MDA) y Reportes,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000vb:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Consulta de reportes por familia,IN-138,10182,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Motor Adaptativo (MDA) y Reportes,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000v3:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Consulta de reportes por profesional,IN-137,10181,Task,For Review,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,06/Apr/26 1:02 AM,06/Apr/26 1:02 AM,,,0,Motor Adaptativo (MDA) y Reportes,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000uv:,Tablero Sprint N (En Curso),,,,,,,,,In Progress,06/Apr/26 12:54 AM
"Creacion de reporte de progreso (tipo, periodo, contenido)",IN-136,10180,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Motor Adaptativo (MDA) y Reportes,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000un:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Busqueda semantica de actividades por lenguaje natural,IN-135,10179,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Motor Adaptativo (MDA) y Reportes,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000uf:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Consulta del historial de ajustes (timeline),IN-134,10178,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Motor Adaptativo (MDA) y Reportes,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000u7:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Alerta al profesional en estado de frustracion,IN-133,10177,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Motor Adaptativo (MDA) y Reportes,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000tz:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Registro de cada ajuste en historial de auditoria,IN-132,10176,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Motor Adaptativo (MDA) y Reportes,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000tr:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Aplicacion de ajuste dentro de rangos configurados,IN-131,10175,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Motor Adaptativo (MDA) y Reportes,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000tj:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Calculo de ajuste segun estado (Estable/Progresando/Dificultad/Frustracion),IN-130,10174,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Motor Adaptativo (MDA) y Reportes,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000tb:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Evaluacion automatica de rendimiento tras cada actividad,IN-129,10173,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Motor Adaptativo (MDA) y Reportes,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000t3:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Monitoreo de frustracion (pausa tras 3+ intentos),IN-128,10172,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Player y Resolucion de Actividades,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000sv:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Desbloqueo automatico de siguiente actividad si supera umbral,IN-127,10171,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Player y Resolucion de Actividades,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000sn:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Completar actividad y evaluar resultado,IN-126,10170,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Player y Resolucion de Actividades,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000sf:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
"Registro de progreso durante ejecucion (intentos, frustracion)",IN-125,10169,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Player y Resolucion de Actividades,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000s7:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Player: Completar letra,IN-124,10168,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Player y Resolucion de Actividades,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000rz:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Player: Ordenar secuencia,IN-123,10167,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Player y Resolucion de Actividades,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000rr:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Player: Emparejar imagen-palabra,IN-122,10166,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Player y Resolucion de Actividades,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000rj:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Player: Suma visual,IN-121,10165,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Player y Resolucion de Actividades,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000rb:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Player: Seleccion de figuras,IN-120,10164,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Player y Resolucion de Actividades,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000r3:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Inicio de actividad (registro de respuesta),IN-119,10163,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Player y Resolucion de Actividades,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000qv:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Carga de asignacion con contenido completo,IN-118,10162,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Player y Resolucion de Actividades,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000qn:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
"Visualizacion del roadmap (vista estudiante, estilo Duolingo)",IN-117,10161,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Player y Resolucion de Actividades,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000qf:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Configuracion del motor adaptativo por actividad,IN-116,10160,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Plan de Trabajo (Roadmap),,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000q7:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Eliminacion de actividad del roadmap,IN-115,10159,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Plan de Trabajo (Roadmap),,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000pz:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Desbloqueo manual de actividad,IN-114,10158,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Plan de Trabajo (Roadmap),,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000pr:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Reordenamiento de actividades drag-drop,IN-113,10157,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Plan de Trabajo (Roadmap),,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000pj:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Definir orden secuencial y umbral de desbloqueo,IN-112,10156,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Plan de Trabajo (Roadmap),,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000pb:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Agregar actividades al roadmap por area,IN-111,10155,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Plan de Trabajo (Roadmap),,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000p3:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Creacion del roadmap por persona,IN-110,10154,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Plan de Trabajo (Roadmap),,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000ov:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
Desactivacion de actividad,IN-109,10153,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,26/Mar/26 2:08 AM,26/Mar/26 2:08 AM,,,,0,Gestion de Actividades,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000on:,,,,,,,,,,To Do,26/Mar/26 2:08 AM
